DE-BB,DE-BE,DE-BW,DE-BY,DE-HB,DE-HE,DE-HH
3.0058255905770976e-07,0.0,4.508738385865646e-06,5.109903503981065e-06,3.0058255905770976e-07,1.3526215157596939e-06,3.0058255905770976e-07
1.0347326881501767e-05,3.362273998995028e-05,0.00014368149941705052,0.000119208310353569,6.9680502327014535e-06,2.8834672357283532e-05,2.5680073580910196e-05
7.216865795477002e-05,0.00020821566399050124,0.0010754221544654484,0.0011033262353646392,2.8235025332900728e-05,0.00027387929030101726,0.0002241936005262709
0.0002078300681824171,0.0005379061522773652,0.002912722420049571,0.0036441263175797387,5.618161285660467e-05,0.0006691195478684513,0.0004587026479656587
0.0003130157467278241,0.000720690710059105,0.003979155941524208,0.005258045162784538,7.406323893307315e-05,0.0009533765269256224,0.0006184152171991203
0.0004105730042668423,0.0008478599039465054,0.004689333852484955,0.006219047074529084,0.00011557854823888724,0.0011866468098791967,0.0007070536740590271
0.0004591854017726301,0.000925653099180613,0.004948795806607332,0.006594854214225318,0.00014669795166375593,0.0013047104775583743,0.0007388820272570269
0.0004776697110609466,0.0009715116746554375,0.005133705695614732,0.00686453901154312,0.00018215910316390257,0.0014031543018372392,0.0007539658065842864
0.0004863334719929787,0.0010106450948947792,0.00522194489382296,0.007033707786637039,0.00020079977610667842,0.0014921738002240323,0.0007586187638747505
0.0004913021927798266,0.0010560831584056696,0.005273024193644248,0.007125377876680977,0.00022866135038135594,0.0015364140877798897,0.00076443609905813
0.000501048354543213,0.0011377125765020945,0.0053126115239096414,0.007188018978369857,0.0002432456768705853,0.0015758738981717436,0.0007698769469958211
0.0005136287973053909,0.0012315702396147306,0.005369540038882692,0.007263293656101557,0.0002494835240178991,0.0016217264012716379,0.0007797779543199342
0.0005214242086223674,0.0012913026737119211,0.005424044158164758,0.007377074781361029,0.00025323169744372476,0.0016691212876038689,0.00078511708997754
0.0005278791431734451,0.0013202724564114073,0.005501003919939659,0.007490212234877871,0.00025837955329102117,0.001720533049952598,0.0007882716887539134
0.0005399950492534429,0.001384641148768003,0.005624049971249278,0.00765385363069134,0.00026629944829407206,0.0018055721065724753,0.0008124564400081981
0.0005523568865181245,0.0014680406641566569,0.005725660539054378,0.007821294815117544,0.0002717038619821804,0.0019290204527212375,0.0008641156516353436
0.0005726674625667765,0.001597763291702315,0.006007209238892565,0.008231558128262931,0.00028337496659852217,0.0021624577259853994,0.0009080067776326997
0.0005875129011780156,0.0017021018739449229,0.006381953712975967,0.008679878533191238,0.0003001741918436364,0.002351024702794668,0.0009518857588801948
0.0006059471133731558,0.0018391143875945972,0.0067940539195378204,0.009287700492324176,0.0003175381479572833,0.0025155481110667862,0.001024235069989146
0.0006254455092748589,0.0020163685299084215,0.007188703638643267,0.009894207782284664,0.0003350630220065874,0.0026825080597797503,0.0011082296781209846
